1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
511	0.039158	330.600000	0.833671	0.011227	73.6
512	0.037219	331.600000	0.831307	0.007559	70.6
513	0.041849	330.800000	0.833197	0.008796	73.4
514	0.037918	330.000000	0.835096	0.010462	76.0
515	0.039308	331.000000	0.832724	0.014221	71.0
516	0.039606	332.000000	0.830365	0.011593	77.6
517	0.038739	333.000000	0.828019	0.008718	71.6
518	0.037388	334.000000	0.825687	0.011564	80.9
519	0.041173	335.000000	0.823367	0.013714	72.0
520	0.039528	336.000000	0.821061	0.011622	74.4
521	0.039716	337.000000	0.818768	0.016358	75.8
522	0.039891	338.000000	0.816487	0.011930	77.0
523	0.037788	339.000000	0.814219	0.010858	71.5
524	0.037100	338.200000	0.816032	0.026273	76.1
525	0.037443	339.200000	0.813767	0.011576	72.4
